Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230223\2023022-LW-S1.mzML	D:\liuwei\20230223\2023022-LW-S2.mzML	D:\liuwei\20230223\2023022-LW-S3.mzML	D:\liuwei\20230223\2023022-LW-SP1.mzML	D:\liuwei\20230223\2023022-LW-SP2.mzML	D:\liuwei\20230223\2023022-LW-SP3.mzML
Q3KQU3	Q3KQU3	MA7D1_HUMAN	MAP7D1	MAP7 domain-containing protein 1	55483.7	53272.3	53612.3	37765.8	46272.9	40059.4
Q3KQZ1	Q3KQZ1	S2535_HUMAN	SLC25A35	Solute carrier family 25 member 35	119394	105119	92212.3	81722.5	90994.8	69563.1
Q3KR37	Q3KR37	ASTRB_HUMAN	GRAMD1B	Protein Aster-B	527680	562047	574377	420038	458706	424127
Q3LXA3	Q3LXA3	TKFC_HUMAN	TKFC	Triokinase/FMN cyclase	79324.3	83074.5	65759.5	61995.4	78686.4	81097.7
Q3MHD2	Q3MHD2	LSM12_HUMAN	LSM12	Protein LSM12 homolog	1.26389e+06	1.1976e+06	1.17273e+06	1.68669e+06	1.33263e+06	1.62832e+06
Q3SXM5	Q3SXM5	HSDL1_HUMAN	HSDL1	Inactive hydroxysteroid dehydrogenase-like protein 1	63140.5	49244.6	42806	32354.6	49066.6	46075.3
Q3ZCQ8	Q3ZCQ8	TIM50_HUMAN	TIMM50	Mitochondrial import inner membrane translocase subunit TIM50	226449	223674	215560	192866	167406	168543
Q49A26	Q49A26	GLYR1_HUMAN	GLYR1	Putative oxidoreductase GLYR1	214176	224859	240230	170388	179836	145141
Q49AN0	Q16526;Q49AN0	CRY2_HUMAN	CRY2	Cryptochrome-2			9529.34		13641.4	
Q4G0J3	Q4G0J3	LARP7_HUMAN	LARP7	La-related protein 7	380648	418573	399583	290367	310270	315068
Q4G0N4	Q4G0N4	NAKD2_HUMAN	NADK2	NAD kinase 2, mitochondrial	43756.9	25907	22944.6	67531.9	56300.3	35087.3
Q4G0X4	Q4G0X4	KCD21_HUMAN	KCTD21	BTB/POZ domain-containing protein KCTD21	88658.8	106052	123081	140513	133802	113369
Q4G176	Q4G176	ACSF3_HUMAN	ACSF3	Malonate--CoA ligase ACSF3, mitochondrial	134987	130126	127609	137916	164184	139771
Q4LDE5	Q4LDE5	SVEP1_HUMAN	SVEP1	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	16138.9	21667.9	30125.9	24863.3	29889.7	17118.4
Q4LE39	P29374;Q4LE39	ARI4B_HUMAN	ARID4B	AT-rich interactive domain-containing protein 4B	125758	126413	124060	110731	115688	130477
Q4V328	Q4V328	GRAP1_HUMAN	GRIPAP1	GRIP1-associated protein 1	24188.7	38962.8	34292.4	34723.1	38542.8	33846.6
Q4VC05	Q4VC05	BCL7A_HUMAN	BCL7A	B-cell CLL/lymphoma 7 protein family member A	179160	184811	189709	191484	179495	207791
Q52LJ0	Q52LJ0	FA98B_HUMAN	FAM98B	Protein FAM98B	97217.8	96725.2	103381	94024.7	94153.1	114353
Q53EL6	Q53EL6	PDCD4_HUMAN	PDCD4	Programmed cell death protein 4	371693	418649	421261	497159	477285	451563
Q53EP0	Q53EP0	FND3B_HUMAN	FNDC3B	Fibronectin type III domain-containing protein 3B	195003	197049	192388	172895	174808	161896
Q53ET0	Q53ET0	CRTC2_HUMAN	CRTC2	CREB-regulated transcription coactivator 2	132402	127163	125442	129980	145141	148454
Q53EZ4	Q53EZ4	CEP55_HUMAN	CEP55	Centrosomal protein of 55 kDa	25173.4	21513.7	25696.4	12864.9		6548.32
Q53GA4	Q53GA4	PHLA2_HUMAN	PHLDA2	Pleckstrin homology-like domain family A member 2	105826	101968	104485	77323.4	89628.9	95836.2
Q53GL7	Q53GL7	PAR10_HUMAN	PARP10	Protein mono-ADP-ribosyltransferase PARP10			22320.9			
Q53GS7	Q53GS7	GLE1_HUMAN	GLE1	Nucleoporin GLE1	82013.8	82821.4	60569.2	71145	86231.8	71622.5
Q53GS9	Q53GS9	SNUT2_HUMAN	USP39	U4/U6.U5 tri-snRNP-associated protein 2	49188	54620.3	51563.7	57895.3	45834.8	54424.6
Q53H12	Q53H12	AGK_HUMAN	AGK	Acylglycerol kinase, mitochondrial	22918.2	28051.9	47524.4	48499.9	25446.4	34886.6
Q53H47	Q53H47	SETMR_HUMAN	SETMAR	Histone-lysine N-methyltransferase SETMAR	41934.9	59709.2	41355	57778.6	44215.1	35222.4
Q53H82	Q53H82	LACB2_HUMAN	LACTB2	Endoribonuclease LACTB2	54998.4	101070	91354.9	147745	114899	146006
Q53H96	Q53H96	P5CR3_HUMAN	PYCR3	Pyrroline-5-carboxylate reductase 3	2.05857e+06	2.08747e+06	2.07854e+06	2.91137e+06	2.69421e+06	2.80527e+06
Q53LP3	Q53LP3	SWAHC_HUMAN	SOWAHC	Ankyrin repeat domain-containing protein SOWAHC	282350	280915	273915	305140	347049	323534
Q53RE8	Q53RE8	ANR39_HUMAN	ANKRD39	Ankyrin repeat domain-containing protein 39	45515.4	56187.7		56328.6	58837.2	40853.7
Q53SF7	Q53SF7	COBL1_HUMAN	COBLL1	Cordon-bleu protein-like 1	99605.7	84173.6	98210.8	97120.7	105718	87870.9
Q562E7	Q562E7	WDR81_HUMAN	WDR81	WD repeat-containing protein 81	96784.7	77471.2	73770.7	50745	64580.7	48436.8
Q567V2	Q567V2	M17L2_HUMAN	MPV17L2	Mpv17-like protein 2	26146.6	30597.1	25891.4	21199.1	28710.5	13261.1
Q56P03	Q56P03	EAPP_HUMAN	EAPP	E2F-associated phosphoprotein	94108	83271	71342.2	54302.1	66953.5	67380.3
Q58FG1	Q58FG1	HS904_HUMAN	HSP90AA4P	Putative heat shock protein HSP 90-alpha A4	91821	117179	114612	93484.6	69992.8	85795
Q58WW2	Q58WW2	DCAF6_HUMAN	DCAF6	DDB1- and CUL4-associated factor 6	196968	183902	168444	171324	196036	193261
Q5BJD5	Q5BJD5	TM41B_HUMAN	TMEM41B	Transmembrane protein 41B	90580.5	59985.5	46365.1	61351.7	57704.3	46322.1
Q5BKZ1	Q5BKZ1	ZN326_HUMAN	ZNF326	DBIRD complex subunit ZNF326	181135	210289	224945	153819	137825	135666
Q5D0E6	Q5D0E6	DALD3_HUMAN	DALRD3	DALR anticodon-binding domain-containing protein 3		8959.05	12237.6	19123.2	18517.5	18852.3
Q5D862	Q5D862	FILA2_HUMAN	FLG2	Filaggrin-2	118888	77364.7	85431.7	129885	102824	126851
Q5EBL4	Q5EBL4	RIPL1_HUMAN	RILPL1	RILP-like protein 1	774209	787676	835930	1.16236e+06	1.01968e+06	1.08098e+06
Q5EBL8	Q5EBL8	PDZ11_HUMAN	PDZD11	PDZ domain-containing protein 11	46377.6	29393.8	39989.6	31541.5	30873.1	16459.7
Q5GLZ8	Q5GLZ8	HERC4_HUMAN	HERC4	Probable E3 ubiquitin-protein ligase HERC4	22573.4	9666.29	18065.4	22807.9		34515.6
Q5H9F3	Q5H9F3	BCORL_HUMAN	BCORL1	BCL-6 corepressor-like protein 1	46335.1	53683.8	102043	43625	40760.4	49683.8
Q5H9R7	Q5H9R7	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3	124738	122475	129579	105383	103829	103549
Q5H9U9	Q5H9U9	DDX6L_HUMAN	DDX60L	Probable ATP-dependent RNA helicase DDX60-like	119905	126700	144648	102097	94888	68870.2
Q5HYI7	Q5HYI7	MTX3_HUMAN	MTX3	Metaxin-3	46586.9	36142.4	36991.7	38455.9	39838.6	45229.1
Q5HYI8	Q5HYI8	RABL3_HUMAN	RABL3	Rab-like protein 3	44382.2	27723.8	43748.9	19485.1	19555.4	29562.9
Q5HYJ3	Q5HYJ3	FA76B_HUMAN	FAM76B	Protein FAM76B	354830	323133	377136	439793	451241	455542
Q5J8M3	Q5J8M3	EMC4_HUMAN	EMC4	ER membrane protein complex subunit 4	104394	78110.9	87580.6	75870.4	74616.8	74022.9
Q5JPH6	Q5JPH6	SYEM_HUMAN	EARS2	Probable glutamate--tRNA ligase, mitochondrial	43060.6	46561.4	49195.3	41252	43576.8	46265.1
Q5JPI3	Q5JPI3	CC038_HUMAN	C3orf38	Uncharacterized protein C3orf38	19093.2	9494.75	18581.2	12623.3	8878.55	
Q5JRA6	Q5JRA6	TGO1_HUMAN	MIA3	Transport and Golgi organization protein 1 homolog	66713.9	61033.2	53560	79081.1	57899.9	41202.7
Q5JRX3	Q5JRX3	PREP_HUMAN	PITRM1	Presequence protease, mitochondrial	118047	117259	118002	130122	141693	141073
Q5JS54	Q5JS54	PSMG4_HUMAN	PSMG4	Proteasome assembly chaperone 4			20000.9		25843.5	18131.4
Q5JSH3	Q5JSH3	WDR44_HUMAN	WDR44	WD repeat-containing protein 44	54717.5	46708.1	62337.8	59624.1	67731.4	68742.7
Q5JSL3	Q5JSL3	DOC11_HUMAN	DOCK11	Dedicator of cytokinesis protein 11	9794.98	31307.8	17357.1	11075.3	20113.9	24740.7
Q5JSZ5	Q5JSZ5	PRC2B_HUMAN	PRRC2B	Protein PRRC2B	92632.4	91319.8	78349.8	44491.7	41382.3	43007.4
Q5JTD0	Q5JTD0	TJAP1_HUMAN	TJAP1	Tight junction-associated protein 1	499200	499570	506210	572742	556023	516146
Q5JTH9	Q5JTH9	RRP12_HUMAN	RRP12	RRP12-like protein	527477	568891	525932	437840	431352	391986
Q5JTV8	Q5JTV8	TOIP1_HUMAN	TOR1AIP1	Torsin-1A-interacting protein 1	50468.4	63007.3	48110.9	60438.6	27315	40710.1
Q5JTZ9	Q5JTZ9	SYAM_HUMAN	AARS2	Alanine--tRNA ligase, mitochondrial	88430	90292	78553.9	80266.3	99523.9	83214.3
Q5JU69	Q5JU69	TOR2A_HUMAN	TOR2A	Torsin-2A	35319.5	33584.9	28968.5	28904.7	19730	32348
Q5JUR7	Q5JUR7	TEX30_HUMAN	TEX30	Testis-expressed protein 30	377544	358537	371666	501651	457675	459643
Q5JVF3	Q5JVF3	PCID2_HUMAN	PCID2	PCI domain-containing protein 2	188000	194973	195488	166973	163967	177754
Q5M775	Q5M775	CYTSB_HUMAN	SPECC1	Cytospin-B	76594.3	35960.4	55110.1	42955.6	56366.2	38302.2
Q5MNZ6	Q5MNZ6	WIPI3_HUMAN	WDR45B	WD repeat domain phosphoinositide-interacting protein 3	58426	52981.1	68003.1	75188.6	96657.5	86518.3
Q5NDL2	Q5NDL2	EOGT_HUMAN	EOGT	EGF domain-specific O-linked N-acetylglucosamine transferase	349469	329002	280149	395724	381441	390726
Q5PSV4	Q5PSV4	BRM1L_HUMAN	BRMS1L	Breast cancer metastasis-suppressor 1-like protein	173009	148922	177703	164154	165635	176965
Q5R3I4	Q5R3I4	TTC38_HUMAN	TTC38	Tetratricopeptide repeat protein 38	49104	18112.3	52470.8	52043.5	66111.4	65783.5
Q5RKV6	Q5RKV6	EXOS6_HUMAN	EXOSC6	Exosome complex component MTR3	327953	308135	326639	306694	297059	302811
Q5SNT2	Q5SNT2	TM201_HUMAN	TMEM201	Transmembrane protein 201	57473.5	68760.6	62856	35881.5	33295.3	35594.7
Q5SNV9	Q5SNV9	CA167_HUMAN	C1orf167	Uncharacterized protein C1orf167	113105	129001	105843	110257	98815.5	83484.9
Q5SRE5	Q5SRE5	NU188_HUMAN	NUP188	Nucleoporin NUP188 homolog	174626	194726	187658	124201	112890	122429
Q5SSJ5	Q5SSJ5	HP1B3_HUMAN	HP1BP3	Heterochromatin protein 1-binding protein 3	108197	103192	127124	81831.7	86611.5	84133.5
Q5ST30	Q5ST30	SYVM_HUMAN	VARS2	Valine--tRNA ligase, mitochondrial	328093	329591	337061	410134	425501	432536
Q5SVZ6	Q5SVZ6	ZMYM1_HUMAN	ZMYM1	Zinc finger MYM-type protein 1	10824			18292.4	18044	
Q5SW79	Q5SW79	CE170_HUMAN	CEP170	Centrosomal protein of 170 kDa	398804	375805	375094	401536	393812	386881
Q5SY16	Q5SY16	NOL9_HUMAN	NOL9	Polynucleotide 5'-hydroxyl-kinase NOL9	94313.9	90948.4	101531	76739.2	77727	61913.3
Q5SYE7	Q5SYE7	NHSL1_HUMAN	NHSL1	NHS-like protein 1	73165.1	85861.4	87421	87224.7	80526.5	79942.6
Q5T011	Q5T011	SZT2_HUMAN	SZT2	KICSTOR complex protein SZT2	65702.8	54030	45029.4	42758.9	51180.9	
Q5T0B9	Q5T0B9	ZN362_HUMAN	ZNF362	Zinc finger protein 362	26312.5	33481.1	37557.3	20901	18800	15789.2
Q5T0N5	Q5T0N5	FBP1L_HUMAN	FNBP1L	Formin-binding protein 1-like	525101	560934	564710	496183	455834	460541
Q5T160	Q5T160	SYRM_HUMAN	RARS2	Probable arginine--tRNA ligase, mitochondrial	15922.1	20449.2	44478.9	19070.4		27733
Q5T1M5	Q5T1M5	FKB15_HUMAN	FKBP15	FK506-binding protein 15	40858.3	35431.5	55773.6	45617.1	37905	46157.9
Q5T200	Q5T200;Q8WZ42	ZC3HD_HUMAN	ZC3H13	Zinc finger CCCH domain-containing protein 13	452915	439891	420872	342985	359779	363905
Q5T280	Q5T280	CI114_HUMAN	SPOUT1	Putative methyltransferase C9orf114	139251	132273	122947	132599	148705	171160
Q5T2E6	Q5T2E6	ARMD3_HUMAN	ARMH3	Armadillo-like helical domain-containing protein 3	36236		37355.5	28818.1	32391.5	31420.8
Q5T2T1	Q5T2T1	MPP7_HUMAN	MPP7	MAGUK p55 subfamily member 7	87067.9	55878.3	84552.7	71540.8	83244.2	65922.8
Q5T3F8	Q5T3F8	CSCL2_HUMAN	TMEM63B	CSC1-like protein 2	29137.9	31241.5	22187.4		14408.5	
Q5T3I0	Q5T3I0	GPTC4_HUMAN	GPATCH4	G patch domain-containing protein 4	85710.1	83785.2	83185.6	67716.7	56224.2	79950
Q5T440	Q5T440	CAF17_HUMAN	IBA57	Putative transferase CAF17, mitochondrial				16004.1	10889.3	
Q5T447	Q5T447	HECD3_HUMAN	HECTD3	E3 ubiquitin-protein ligase HECTD3	34187	30773.9	46040.1	34141.8	37873.7	25538.8
Q5T4S7	Q5T4S7	UBR4_HUMAN	UBR4	E3 ubiquitin-protein ligase UBR4	291004	293945	280945	212431	213250	234909
Q5T5U3	Q5T5U3	RHG21_HUMAN	ARHGAP21	Rho GTPase-activating protein 21	195837	181664	193805	182151	194237	170416
Q5T5Y3	Q5T5Y3	CAMP1_HUMAN	CAMSAP1	Calmodulin-regulated spectrin-associated protein 1	47924.5	38177.6	52013.1	44064.9	45689.6	50649.5
Q5T653	Q5T653	RM02_HUMAN	MRPL2	39S ribosomal protein L2, mitochondrial	33312	32444.3	21820.7		22593.2	
Q5T6F2	Q5T6F2	UBAP2_HUMAN	UBAP2	Ubiquitin-associated protein 2	572619	541009	592426	654228	628066	689405
Q5T6V5	Q5T6V5	QSPP_HUMAN	C9orf64	Queuosine salvage protein	53805.2	48986.1	56668.4	54492.9	53645	49114.1
Q5T749	Q5T749	KPRP_HUMAN	KPRP	Keratinocyte proline-rich protein		22423.1	47893.6			212945
Q5T7W0	Q5T7W0	ZN618_HUMAN	ZNF618	Zinc finger protein 618	29919.8		24183.5	6839.13		
Q5T8D3	Q5T8D3	ACBD5_HUMAN	ACBD5	Acyl-CoA-binding domain-containing protein 5	44128.9	35031.2	42335.6	33364.6	28416.1	18582.5
Q5T8P6	Q5T8P6	RBM26_HUMAN	RBM26	RNA-binding protein 26	93935.6	102603	117846	82676.5	88714.7	101821
Q5T9L3	Q5T9L3	WLS_HUMAN	WLS	Protein wntless homolog	420424	433170	529299	382778	307552	305680
Q5T9S5	Q5T9S5	CCD18_HUMAN	CCDC18	Coiled-coil domain-containing protein 18	60849.9	68654.4	54544.7	65955.5	70525.1	51973.9
Q5TA45	Q5TA45	INT11_HUMAN	INTS11	Integrator complex subunit 11	143269	141678	136160	147179	132178	132016
Q5TAQ9	Q5TAQ9	DCAF8_HUMAN	DCAF8	DDB1- and CUL4-associated factor 8	214417	238576	198177	200321	208560	213464
Q5TAX3	Q5TAX3	TUT4_HUMAN	TUT4	Terminal uridylyltransferase 4	75293.9	100033	74515.3	75714.7	68845.6	74696.4
Q5TB30;Q8WUY9	Q5TB30;Q8WUY9	DEP1A_HUMAN;DEP1B_HUMAN	DEPDC1;DEPDC1B	DEP domain-containing protein 1A	66917.5	35785.1	45317.8	89933.4	63355.2	68208.4
Q5TC12	Q5TC12	ATPF1_HUMAN	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	27550.8	19888.8	37377.3	33025.7	36146.3	58165.7
Q5TC82	Q9HBD1;Q5TC82	RC3H1_HUMAN	RC3H1	Roquin-1	61584.2	41934.3	32906.4	24539.2	41581.5	46258.7
Q5TCZ1	Q5TCZ1	SPD2A_HUMAN	SH3PXD2A	SH3 and PX domain-containing protein 2A	57737.1	78331.8	41824.4	30257.2	32392.1	41976.9
Q5TDH0	Q5TDH0	DDI2_HUMAN	DDI2	Protein DDI1 homolog 2	51475.8	43152.8	38267.6	39369.4	45379.3	52767.1
Q5TEU4	Q5TEU4	NDUF5_HUMAN	NDUFAF5	Arginine-hydroxylase NDUFAF5, mitochondrial		26984.4	26675.9		30525.6	21915.4
Q5TFE4	Q5TFE4	NT5D1_HUMAN	NT5DC1	5'-nucleotidase domain-containing protein 1				10652.5	3852.79	
Q5THK1	Q5THK1	PR14L_HUMAN	PRR14L	Protein PRR14L	98274	87789.7	66016	79057.9	83625.8	82816.9
Q5UIP0	Q5UIP0	RIF1_HUMAN	RIF1	Telomere-associated protein RIF1	53235	47884.7	75610.2	35373.6	44229.4	42692.6
Q5VIR6	Q5VIR6	VPS53_HUMAN	VPS53	Vacuolar protein sorting-associated protein 53 homolog	147728	178573	133836	105037	97607.7	61159.6
Q5VSL9	Q5VSL9	STRP1_HUMAN	STRIP1	Striatin-interacting protein 1	57791.9	72195.6	73537.8	45564.6	45591.7	37709.2
Q5VT25	Q5VT25	MRCKA_HUMAN	CDC42BPA	Serine/threonine-protein kinase MRCK alpha			39677.1		22545.9	
Q5VT52	Q5VT52	RPRD2_HUMAN	RPRD2	Regulation of nuclear pre-mRNA domain-containing protein 2	231898	243412	240163	217829	230177	219341
Q5VT66	Q969Z3;Q5VT66	MARC1_HUMAN	MTARC1	Mitochondrial amidoxime-reducing component 1	33128	40141.4	46398.1	36832.6	28759.1	30342.7
Q5VTL8	Q5VTL8	PR38B_HUMAN	PRPF38B	Pre-mRNA-splicing factor 38B	421469	429135	398656	534154	549152	526789
Q5VTR2	Q5VTR2	BRE1A_HUMAN	RNF20	E3 ubiquitin-protein ligase BRE1A	840500	847931	894483	868490	884277	904846
Q5VU43	Q5VU43	MYOME_HUMAN	PDE4DIP	Myomegalin	50539.3	31355.5	35851.7	35981.8	33406.2	32009.8
Q5VUA4	Q5VUA4	ZN318_HUMAN	ZNF318	Zinc finger protein 318	108769	117240	106925	83554	103558	94959.6
Q5VV41	Q5VV41	ARHGG_HUMAN	ARHGEF16	Rho guanine nucleotide exchange factor 16	63662.9	57609.9	58080.8	64321.6	72947	62310.4
Q5VV42	Q5VV42	CDKAL_HUMAN	CDKAL1	Threonylcarbamoyladenosine tRNA methylthiotransferase	54745.3	45079.5	45052.1	20528.3	30318.8	38036.4
Q5VV52	Q5VV52	ZN691_HUMAN	ZNF691	Zinc finger protein 691	56296.9	53169.3	38365.8	36798.1	47389	51376.1
Q5VW36	Q5VW36	FOCAD_HUMAN	FOCAD	Focadhesin	51756.4	33045.3	36986.4	37704.2	36181	34817.4
Q5VWG9	Q5VWG9	TAF3_HUMAN	TAF3	Transcription initiation factor TFIID subunit 3	79345.3	89083.8	73537.6	72219.6	79719.3	100611
Q5VWQ0	Q5VWQ0	RSBN1_HUMAN	RSBN1	Lysine-specific demethylase 9	426900	433031	443110	466028	460584	441779
Q5VYK3	Q5VYK3	ECM29_HUMAN	ECPAS	Proteasome adapter and scaffold protein ECM29	152856	164390	154777	133943	131192	137252
Q5VYS8	Q5VYS8;Q5TAX3	TUT7_HUMAN	TUT7	Terminal uridylyltransferase 7	154825	163826	123322	133084	117713	120497
Q5VZ66	Q5VZ66	JKIP3_HUMAN	JAKMIP3	Janus kinase and microtubule-interacting protein 3	219893	391921	326086		286701	
Q5VZ89	Q5VZ89	DEN4C_HUMAN	DENND4C	DENN domain-containing protein 4C	82145.8	58971.8	67777.8	68465.2	63339.4	80303.4
Q5VZE5	Q5VZE5	NAA35_HUMAN	NAA35	N-alpha-acetyltransferase 35, NatC auxiliary subunit	71968.2	59601.1	72008	74843.8	70846.4	65244.3
Q5VZK9	Q5VZK9	CARL1_HUMAN	CARMIL1	F-actin-uncapping protein LRRC16A	162482	157387	177239	155774	158958	157589
Q5VZL5	Q5VZL5	ZMYM4_HUMAN	ZMYM4	Zinc finger MYM-type protein 4	57822.5	45808	52777.4	37726.1	34558.5	40311.3
Q5W0V3	Q5W0V3	F16B1_HUMAN	FAM160B1	Protein FAM160B1	47142.1	37828.7	9728.72	28404.4	18525.8	
Q5XG87	Q5XG87	PAPD7_HUMAN	TENT4A	Terminal nucleotidyltransferase 4A	14926.3	7854.75	11968.4	21033.3	20020.6	18866.3
Q5XKP0	Q5XKP0	MIC13_HUMAN	MICOS13	MICOS complex subunit MIC13	36803.6	43490.6	28431	21576.2	28204.2	26288.1
Q63HN8	Q63HN8	RN213_HUMAN	RNF213	E3 ubiquitin-protein ligase RNF213	222848	231083	230003	150804	159777	146780
Q63HR2	Q63HR2	TNS2_HUMAN	TNS2	Tensin-2	114740	58355.2	99871.8	92287.4	163890	93861.2
Q63ZY3	Q63ZY3	KANK2_HUMAN	KANK2	KN motif and ankyrin repeat domain-containing protein 2	90112.4	98442.7	110695	72537	78483	77902.2
Q641Q2;Q9Y4E1	Q9Y4E1;Q641Q2	WAC2A_HUMAN;WAC2C_HUMAN	WASHC2A;WASHC2C	WASH complex subunit 2A	30301	35786.9	31299.3	29083.8	29739.1	31138.1
Q643R3	Q643R3	LPCT4_HUMAN	LPCAT4	Lysophospholipid acyltransferase LPCAT4	16058.5	17403.4	20894.1	11578.7	20135.6	21903.6
Q658Y4	Q658Y4	F91A1_HUMAN	FAM91A1	Protein FAM91A1	84184	74861.5	84256.4	49786	60139.4	60018.1
Q66K14	Q66K14	TBC9B_HUMAN	TBC1D9B	TBC1 domain family member 9B	33060.6	23997.5	37257.4	21823.4	26816.5	40101.8
Q66K74	Q66K74	MAP1S_HUMAN	MAP1S	Microtubule-associated protein 1S	42839.5	38565	29813.6	35226	34442.3	46487.6
Q66LE6	Q66LE6	2ABD_HUMAN	PPP2R2D	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	26321.4	54577.5	46388.1	56165	49739.5	47432.1
Q66PJ3	Q66PJ3	AR6P4_HUMAN	ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4		51874.2	24486.8	23478.9	35781	
Q676U5	Q676U5	A16L1_HUMAN	ATG16L1	Autophagy-related protein 16-1	20096.3	45776	22344.9	33078.8	43105.3	44217.7
Q687X5	Q687X5	STEA4_HUMAN	STEAP4	Metalloreductase STEAP4	143049	123272	120423	93850.4	115221	110249
Q68CP9	Q68CP9	ARID2_HUMAN	ARID2	AT-rich interactive domain-containing protein 2	305732	306975	323843	326755	331834	348418
Q68CQ4	Q68CQ4	DIEXF_HUMAN	DIEXF	Digestive organ expansion factor homolog	63876.5	78910.4	60879.6	48369.4	34547.5	45706.7
Q68CQ7	Q68CQ7	GL8D1_HUMAN	GLT8D1	Glycosyltransferase 8 domain-containing protein 1	94922.5	76226.2	67894.4	67685.8	57780.2	96154.8
Q68CZ2	Q68CZ2	TENS3_HUMAN	TNS3	Tensin-3	868317	903524	888136	959881	934159	916347
Q68CZ6	Q68CZ6	HAUS3_HUMAN	HAUS3	HAUS augmin-like complex subunit 3	33202.1	23233.1		24101.2		31945.8
Q68DK7	Q68DK7	MSL1_HUMAN	MSL1	Male-specific lethal 1 homolog	114254	94807.2	130999	107128	91920.4	115179
Q68E01	Q68E01	INT3_HUMAN	INTS3	Integrator complex subunit 3	933385	959768	945338	853305	899437	933673
Q68EM7	Q68EM7	RHG17_HUMAN	ARHGAP17	Rho GTPase-activating protein 17	563354	618623	594666	666670	734992	709861
Q69YN4	Q69YN4	VIR_HUMAN	VIRMA	Protein virilizer homolog	703871	705735	734466	656207	678440	677541
Q69YQ0	Q69YQ0	CYTSA_HUMAN	SPECC1L	Cytospin-A	113888	101906	110430	102283	77674.8	92918
Q6AI39	Q6AI39	BICRL_HUMAN	BICRAL	BRD4-interacting chromatin-remodeling complex-associated protein-like	130064	135914			106279	
Q6BDS2	Q6BDS2	URFB1_HUMAN	UHRF1BP1	UHRF1-binding protein 1	149062	174564	152111	117274	138257	133378
Q6DCA0	Q6DCA0	AMERL_HUMAN	AMMECR1L	AMMECR1-like protein	112360	126715	93635.3	177570	164715	172734
Q6DD88	Q6DD88	ATLA3_HUMAN	ATL3	Atlastin-3	115100	105723	113861	104369	100909	102377
Q6DKI1	Q6DKI1	RL7L_HUMAN	RPL7L1	60S ribosomal protein L7-like 1	44597	32166.3	41046.7	23947.4	32970.9	18329
Q6DKJ4	Q6DKJ4	NXN_HUMAN	NXN	Nucleoredoxin	56639.6	62594.8	54473.4	70655.3	64742.4	62775.4
Q6DN90	Q6DN90	IQEC1_HUMAN	IQSEC1	IQ motif and SEC7 domain-containing protein 1	21631.7		44770.3	38786.3	33454.6	44457.8
Q6EMK4	Q6EMK4	VASN_HUMAN	VASN	Vasorin	91553	91422.6	99080.7	75948.8	95139.8	98034.1
Q6FI81	Q6FI81	CPIN1_HUMAN	CIAPIN1	Anamorsin	75044.3	50874.5	105896	98194.3	110307	135965
Q6GQQ9	Q6GQQ9	OTU7B_HUMAN	OTUD7B	OTU domain-containing protein 7B	341209	310292	330199	348901	385806	360752
Q6GYQ0	Q6GYQ0	RGPA1_HUMAN	RALGAPA1	Ral GTPase-activating protein subunit alpha-1	56593.5	59074.1	48707.9	59453.3	55640.2	51287.2
Q6I9Y2	Q6I9Y2	THOC7_HUMAN	THOC7	THO complex subunit 7 homolog	107702	108794	94702.2	130836	119038	117757
Q6IA69	Q6IA69	NADE_HUMAN	NADSYN1	Glutamine-dependent NAD(+) synthetase	121853	109990	107751	150521	148477	156795
Q6IA86	Q6IA86	ELP2_HUMAN	ELP2	Elongator complex protein 2	345670	365989	314312	318986	352060	345747
Q6IAA8	Q6IAA8	LTOR1_HUMAN	LAMTOR1	Ragulator complex protein LAMTOR1	43282.4	54824.5	36436.5	51000.8	34758.2	39503
Q6IAN0	Q6IAN0	DRS7B_HUMAN	DHRS7B	Dehydrogenase/reductase SDR family member 7B	54279.7	53363.9	52944.3	38177.7	38702.7	44210.9
Q6IBS0	Q6IBS0;Q12792	TWF2_HUMAN	TWF2	Twinfilin-2	144252	138831	139366	160915	170162	158605
Q6IBW4	Q6IBW4	CNDH2_HUMAN	NCAPH2	Condensin-2 complex subunit H2	9849.17	48143.7	11872.1	8863.47	32772	23353.4
Q6JQN1	Q6JQN1	ACD10_HUMAN	ACAD10	Acyl-CoA dehydrogenase family member 10	24803.3		10011.5	28759.2	13795.4	29956.1
Q6KC79	Q6KC79	NIPBL_HUMAN	NIPBL	Nipped-B-like protein	373344	350452	343963	321799	317293	332812
Q6L8Q7	Q6L8Q7	PDE12_HUMAN	PDE12	2',5'-phosphodiesterase 12	28908.4	79508.2	46907.2	75766.6	38957.7	38612.3
Q6L9W6;Q76KP1	Q6L9W6;Q76KP1	B4GN3_HUMAN;B4GN4_HUMAN	B4GALNT3;B4GALNT4	Beta-1,4-N-acetylgalactosaminyltransferase 3	46352.6	64494.2	40781.5	12036.5	36718.8	39117.1
